time,hosp_a,x_labels,hosp_b
1,0.455868089,2013-1,0.375104428
2,0.424065421,2013-2,0.362428843
3,0.453012048,2013-3,0.380846325
4,0.450611477,2013-4,0.342062193
5,0.453974895,2013-5,0.368063112
6,0.474613687,2013-6,0.363891487
7,0.464763604,2013-7,0.358490566
8,0.457762557,2013-8,0.402460984
9,0.430434783,2013-9,0.36906585
10,0.446376812,2013-10,0.374967337
11,0.479558011,2013-11,0.379666667
12,0.434738956,2013-12,0.400246305
13,0.453,2014-1,0.401579587
14,0.417045455,2014-2,0.37191461
15,0.413461538,2014-3,0.348241913
16,0.417085427,2014-4,0.369686801
17,0.468932039,2014-5,0.361219922
18,0.438528558,2014-6,0.336113428
19,0.435768262,2014-7,0.351173021
20,0.470056497,2014-8,0.385229541
21,0.424390244,2014-9,0.377176015
22,0.404672897,2014-10,0.357002526
23,0.432835821,2014-11,0.382352941
24,0.431635389,2014-12,0.396957948
25,0.434782609,2015-1,0.408387762
26,0.432657926,2015-2,0.4
27,0.451041667,2015-3,0.377310924
28,0.404588113,2015-4,0.378472222
29,0.455767077,2015-5,0.38047138
30,0.443452381,2015-6,0.366908482
31,0.421709894,2015-7,0.36255991
32,0.413978495,2015-8,0.386705018
33,0.480662983,2015-9,0.392320534
34,0.445714286,2015-10,0.400525088
35,0.442449842,2015-11,0.394269341
36,0.454545455,2015-12,0.417049369
37,0.507608696,2016-1,0.412551768
38,0.412474849,2016-2,0.404526167
39,0.474452555,2016-3,0.395934172
40,0.425245098,2016-4,0.387549588
41,0.469223007,2016-5,0.386988943
42,0.458724203,2016-6,0.388800425
43,0.437563452,2016-7,0.386811305
44,0.438223938,2016-8,0.385703266
45,0.442115768,2016-9,0.382641921
46,0.437242798,2016-10,0.400927948
47,0.445825933,2016-11,0.389460154
48,0.440999139,2016-12,0.417331813
49,0.463855422,2017-1,0.425652057
50,0.427672956,2017-2,0.426391097
51,0.475121951,2017-3,0.416958479
52,0.435810811,2017-4,0.409144197
53,0.457245725,2017-5,0.409421139
54,0.434034417,2017-6,0.416197372
